student_id,수강년도,수강학기,교과목번호,교과목명,이수구분,영역,세부영역,학점
20210001,2021,1,5110001,창의공학설계,전공필수,전공,필수,2
20210001,2021,1,5110122,미래설계탐색,전공필수,전공,필수,1
20210001,2021,1,0913002,영어읽기와토론(영어Ⅰ),교양선택,개신기초,영어,3
20210001,2021,1,0921060,로마문화와함께배우는교양라틴어,교양선택,일반,인간과문화,3
20210001,2021,1,0921018,현대한국사회의이해,교양선택,일반,인간과문화,3
20210001,2021,1,0914010,교육을위한AI활용입문,교양선택,개신기초,정보문해,3
20210001,2021,1,0913001,ACTIONENGLISH(영어Ⅱ),교양선택,개신기초,영어,3
20210001,2021,2,5110120,오픈소스SW이해 및 실습,전공선택,전공,선택,3
20210001,2021,2,5110123,미래설계준비,전공필수,전공,필수,1
20210001,2021,2,0934011,탁구의이론과실기,교양선택,확대,예술과체육,2
20210001,2021,2,0912002,글쓰기와발표,교양선택,개신기초,의사소통,3
20210001,2021,2,0914008,공학도를위한AI활용입문,교양선택,개신기초,정보문해,3
20210001,2021,2,0941013,일반생물학및실험I,교양선택,자연이공계기초,기초과학,3
20210001,2021,2,0911001,역사와비판적사고,교양선택,개신기초,인성과비판적사고,3
20210001,2022,1,5110124,전자회로및설계,전공선택,전공,선택,3
20210001,2022,1,5110125,오픈소스기초프로젝트,전공선택,전공,선택,3
20210001,2022,1,5110005,이산수학,전공필수,전공,필수,3
20210001,2022,1,5110121,미래설계구현,전공필수,전공,필수,1
20210001,2022,1,5110047,데이터통신,전공선택,전공,선택,3
20210001,2022,1,5110007,C/C++프로그래밍,전공선택,전공,선택,3
20210001,2022,1,0921024,세계미술문화재탐구,교양선택,일반,인간과문화,3
20210001,2022,2,5110129,오픈소스개발프로젝트,전공선택,전공,선택,3
20210001,2022,2,5110014,데이터 구조,전공필수,전공,필수,3
20210001,2022,2,5110128,논리회로및설계,전공선택,전공,선택,3
20210001,2022,2,5110013,선형대수학,전공선택,전공,선택,3
20210001,2022,2,5110032,컴퓨터네트워크,전공필수,전공,필수,3
20210001,2022,2,5110126,창업탐색,전공필수,전공,필수,1
20210001,2022,2,0941020,웰빙시대의 생물산업,교양선택,자연이공계기초,기초과학,3
20210001,2023,1,5110099,알고리즘,전공선택,전공,선택,3
20210001,2023,1,5110130,창업기획,전공필수,전공,필수,1
20210001,2023,1,5110018,프로그래밍언어론,전공필수,전공,필수,3
20210001,2023,1,5110016,운영체제,전공필수,전공,필수,3
20210001,2023,1,5110132,오픈소스전문프로젝트,전공선택,전공,선택,3
20210001,2023,1,5110011,컴퓨터구조,전공필수,전공,필수,3
20210001,2023,1,0941009,일반화학 및 실험,교양선택,자연이공계기초,기초과학,3
20210002,2021,1,5110122,미래설계탐색,전공필수,전공,필수,1
20210002,2021,1,0941017,맛보기 물리학 및 실험,교양선택,자연이공계기초,기초과학,4
20210002,2021,1,0923030,환경과그린에너지의이해,교양선택,일반,자연과과학,3
20210002,2021,1,0941009,일반화학 및 실험,교양선택,자연이공계기초,기초과학,3
20210002,2021,1,0913002,영어읽기와토론(영어Ⅰ),교양선택,개신기초,영어,3
20210002,2021,1,0921005,독일과독일사람,교양선택,일반,인간과문화,3
20210002,2021,1,0934013,수영의이론과실기,교양선택,확대,예술과체육,2
20210002,2021,2,5110120,오픈소스SW이해 및 실습,전공선택,전공,선택,3
20210002,2021,2,0932018,토익듣기와읽기,교양선택,확대,국제화,3
20210002,2021,2,0912002,글쓰기와발표,교양선택,개신기초,의사소통,3
20210002,2021,2,0941003,수학II,교양선택,자연이공계기초,수학,3
20210002,2021,2,0911001,역사와비판적사고,교양선택,개신기초,인성과비판적사고,3
20210002,2021,2,0914008,공학도를위한AI활용입문,교양선택,개신기초,정보문해,3
20210002,2022,1,5110124,전자회로및설계,전공선택,전공,선택,3
20210002,2022,1,5110007,C/C++프로그래밍,전공선택,전공,선택,3
20210002,2022,1,5110047,데이터통신,전공선택,전공,선택,3
20210002,2022,1,5110125,오픈소스기초프로젝트,전공선택,전공,선택,3
20210002,2022,1,0921020,한글맞춤법의이론과실제,교양선택,일반,인간과문화,3
20210002,2022,1,5110146,고급컴퓨터프로그래밍,전공선택,전공,선택,3
20210002,2022,2,5110013,선형대수학,전공선택,전공,선택,3
20210002,2022,2,5110129,오픈소스개발프로젝트,전공선택,전공,선택,3
20210002,2022,2,5110128,논리회로및설계,전공선택,전공,선택,3
20210002,2022,2,5110127,오토마타이론,전공선택,전공,선택,3
20210002,2022,2,0921058,어른심리여행안내서,교양선택,일반,인간과문화,3
20210002,2022,2,0912001,대학글쓰기,교양선택,개신기초,의사소통,3
20210002,2022,2,5110032,컴퓨터네트워크,전공필수,전공,필수,3
20210002,2023,1,5110132,오픈소스전문프로젝트,전공선택,전공,선택,3
20210002,2023,1,5110099,알고리즘,전공선택,전공,선택,3
20210002,2023,1,5110130,창업기획,전공필수,전공,필수,1
20210002,2023,1,5110054,자료구조,전공선택,전공,선택,3
20210002,2023,1,5110068,인터넷프로그래밍,전공선택,전공,선택,3
20210002,2023,1,5110147,논리회로,전공선택,전공,선택,3
20210002,2023,1,5110011,컴퓨터구조,전공필수,전공,필수,3
20210002,2023,2,5110134,인공지능,전공선택,전공,선택,3
20210002,2023,2,5110085,소프트웨어공학,전공선택,전공,선택,3
20210002,2023,2,5110108,정보보호,전공선택,전공,선택,3
20210002,2023,2,5110107,마이크로프로세서,전공선택,전공,선택,3
20210002,2023,2,5110025,데이터베이스시스템,전공선택,전공,선택,3
20210002,2023,2,5110014,데이터 구조,전공필수,전공,필수,3
20210002,2023,2,5110131,창업설계,전공필수,전공,필수,1
20210003,2021,1,5110001,창의공학설계,전공필수,전공,필수,2
20210003,2021,1,5110122,미래설계탐색,전공필수,전공,필수,1
20210003,2021,1,0913001,ACTIONENGLISH(영어Ⅱ),교양선택,개신기초,영어,3
20210003,2021,1,0911001,역사와비판적사고,교양선택,개신기초,인성과비판적사고,3
20210003,2021,1,0941026,일반생물학의 이해 및 실험I,교양선택,자연이공계기초,기초과학,4
20210003,2021,1,0912002,글쓰기와발표,교양선택,개신기초,의사소통,3
20210003,2021,1,0934012,배드민턴의이론과실기,교양선택,확대,예술과체육,2
20210003,2021,2,5110120,오픈소스SW이해 및 실습,전공선택,전공,선택,3
20210003,2021,2,5110123,미래설계준비,전공필수,전공,필수,1
20210003,2021,2,0932030,한중청년교류와미래,교양선택,확대,국제화,3
20210003,2021,2,0941002,수학I,교양선택,자연이공계기초,수학,3
20210003,2021,2,0941031,기초통계학,교양선택,자연이공계기초,기초과학,3
20210003,2021,2,0941006,일반물리학및실험 I,교양선택,자연이공계기초,수학,3
20210003,2021,2,0914006,정보기술프로그래밍(Python프로그래밍),교양선택,개신기초,정보문해,3
20210003,2022,1,5110121,미래설계구현,전공필수,전공,필수,1
20210003,2022,1,5110007,C/C++프로그래밍,전공선택,전공,선택,3
20210003,2022,1,5110125,오픈소스기초프로젝트,전공선택,전공,선택,3
20210003,2022,1,5110124,전자회로및설계,전공선택,전공,선택,3
20210003,2022,1,5110005,이산수학,전공필수,전공,필수,3
20210003,2022,1,5110047,데이터통신,전공선택,전공,선택,3
20210003,2022,1,5110054,자료구조,전공선택,전공,선택,3
20210003,2022,2,5110127,오토마타이론,전공선택,전공,선택,3
20210003,2022,2,5110014,데이터 구조,전공필수,전공,필수,3
20210003,2022,2,5110032,컴퓨터네트워크,전공필수,전공,필수,3
20210003,2022,2,5110128,논리회로및설계,전공선택,전공,선택,3
20210003,2022,2,5110013,선형대수학,전공선택,전공,선택,3
20210003,2022,2,5110126,창업탐색,전공필수,전공,필수,1
20210003,2022,2,5110129,오픈소스개발프로젝트,전공선택,전공,선택,3
20210003,2023,1,5110132,오픈소스전문프로젝트,전공선택,전공,선택,3
20210003,2023,1,5110018,프로그래밍언어론,전공필수,전공,필수,3
20210003,2023,1,5110016,운영체제,전공필수,전공,필수,3
20210003,2023,1,5110099,알고리즘,전공선택,전공,선택,3
20210003,2023,1,5110011,컴퓨터구조,전공필수,전공,필수,3
20210003,2023,1,5110130,창업기획,전공필수,전공,필수,1
20210003,2023,1,5110068,인터넷프로그래밍,전공선택,전공,선택,3
20210004,2021,1,5110122,미래설계탐색,전공필수,전공,필수,1
20210004,2021,1,5110001,창의공학설계,전공필수,전공,필수,2
20210004,2021,1,0941009,일반화학 및 실험,교양선택,자연이공계기초,기초과학,3
20210004,2021,1,0931012,공부에 대한 공부,교양선택,확대,미래융복합,3
20210004,2021,1,0911001,역사와비판적사고,교양선택,개신기초,인성과비판적사고,3
20210004,2021,1,0914009,인문학도를위한AI활용입문,교양선택,개신기초,정보문해,3
20210004,2021,1,0921062,비유와우화로보는 철학산책,교양선택,일반,인간과문화,3
20210004,2021,2,5110123,미래설계준비,전공필수,전공,필수,1
20210004,2021,2,5110120,오픈소스SW이해 및 실습,전공선택,전공,선택,3
20210004,2021,2,0932024,충북지역문화와 동아시아 문화교류,교양선택,확대,국제화,3
20210004,2021,2,0914006,정보기술프로그래밍(Python프로그래밍),교양선택,개신기초,정보문해,3
20210004,2021,2,0914002,기초컴퓨터프로그래밍,교양선택,개신기초,정보문해,3
20210004,2021,2,0931020,배터리속소재이야기,교양선택,확대,미래융복합,3
20210004,2021,2,0912002,글쓰기와발표,교양선택,개신기초,의사소통,3
20210004,2022,1,5110047,데이터통신,전공선택,전공,선택,3
20210004,2022,1,5110007,C/C++프로그래밍,전공선택,전공,선택,3
20210004,2022,1,5110005,이산수학,전공필수,전공,필수,3
20210004,2022,1,5110125,오픈소스기초프로젝트,전공선택,전공,선택,3
